iter	Passed	Remaining
182	558	2491
183	559	2481
184	563	2482
185	565	2474
186	566	2464
187	568	2454
188	570	2447
189	571	2437
190	573	2427
191	574	2417
192	578	2420
193	580	2410
194	581	2401
195	583	2393
196	585	2384
197	586	2375
198	588	2369
199	592	2368
200	594	2362
201	596	2355
202	598	2347
203	599	2340
204	601	2331
205	602	2322
206	603	2313
207	605	2304
208	609	2306
209	610	2298
210	612	2289
211	613	2280
212	614	2271
213	616	2263
214	617	2254
215	618	2246
216	620	2238
217	624	2238
218	625	2230
219	626	2222
220	628	2214
221	629	2205
222	630	2197
223	632	2189
224	633	2181
225	634	2173
226	639	2176
227	640	2169
228	642	2162
229	644	2156
230	645	2149
231	647	2143
232	648	2136
233	650	2128
234	653	2127
235	655	2123
236	657	2115
237	659	2111
238	660	2103
239	662	2096
240	663	2088
241	667	2090
242	668	2082
243	669	2074
244	670	2066
245	671	2058
246	672	2050
247	673	2043
248	674	2035
249	675	2027
250	676	2019
251	677	2012
252	681	2011
253	683	2006
254	684	1999
255	686	1993
256	687	1986
257	688	1979
258	689	1973
259	690	1966
260	691	1959
261	692	1951
262	695	1949
263	697	1944
264	698	1938
265	700	1931
266	701	1925
267	702	1918
268	703	1911
269	704	1904
270	705	1898
271	706	1891
272	707	1884
273	712	1886
274	713	1880
275	714	1875
276	717	1871
277	718	1865
278	719	1859
279	720	1853
280	721	1846
281	723	1840
282	725	1838
283	727	1833
284	728	1827
285	730	1822
286	731	1816
287	732	1810
288	733	1805
289	735	1799
290	736	1793
291	737	1788
292	739	1784
293	742	1781
294	743	1776
295	744	1771
296	745	1765
297	747	1760
298	748	1755
299	749	1749
300	751	1744
301	755	1747
302	757	1742
303	758	1737
304	760	1732
305	761	1728
306	763	1723
307	764	1717
308	765	1712
309	767	1707
310	770	1706
311	771	1701
312	773	1697
313	774	1692
314	775	1687
315	777	1682
316	778	1678
317	780	1674
318	782	1670
319	786	1671
320	789	1669
321	790	1665
322	792	1661
323	794	1657
324	796	1653
325	799	1653
326	801	1649
327	803	1645
328	804	1641
329	806	1637
330	808	1633
331	809	1628
332	810	1623
333	812	1619
334	815	1619
335	816	1614
336	818	1609
337	819	1604
338	820	1600
339	822	1597
340	824	1594
341	827	1591
342	839	1608
343	842	1606
344	846	1606
345	848	1603
346	849	1599
347	851	1595
348	853	1591
349	854	1587
350	855	1582
351	857	1578
352	860	1577
353	862	1574
354	864	1571
355	866	1566
356	867	1562
357	868	1558
358	870	1553
359	871	1549
360	872	1545
361	875	1543
362	877	1539
363	878	1535
364	880	1531
365	881	1527
366	883	1523
367	884	1518
368	885	1514
369	887	1510
370	890	1508
371	891	1504
372	893	1501
373	894	1497
374	895	1493
375	897	1489
376	898	1485
377	900	1480
378	901	1476
379	902	1472
380	905	1470
381	906	1467
382	908	1463
383	909	1459
384	911	1455
385	912	1451
386	914	1447
387	915	1443
388	916	1439
389	920	1440
390	922	1436
391	923	1432
392	924	1428
393	926	1424
394	927	1420
395	928	1416
396	930	1412
397	931	1408
398	935	1408
399	936	1405
400	938	1401
401	939	1398
402	942	1395
403	943	1391
404	944	1388
405	946	1384
406	947	1381
407	950	1379
408	952	1375
409	953	1372
410	954	1368
411	956	1364
412	957	1360
413	958	1357
414	960	1353
415	961	1349
416	964	1348
417	966	1345
418	967	1341
419	969	1338
420	970	1334
421	972	1331
422	973	1327
423	975	1324
424	978	1323
425	979	1320
426	981	1316
427	982	1313
428	984	1310
429	985	1306
430	987	1303
431	988	1299
432	990	1296
433	991	1293
434	995	1292
435	996	1289
436	998	1285
437	999	1282
438	1000	1279
439	1002	1275
440	1003	1272
441	1005	1269
442	1008	1268
443	1010	1265
444	1012	1262
445	1013	1259
446	1015	1256
447	1016	1253
448	1018	1249
449	1020	1246
450	1021	1243
451	1025	1242
452	1027	1240
